Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)","Entry_SMA(C,90)","Exit_SMA(C,90)","Entry_SMA(C,30)","Exit_SMA(C,30)","Entry_TR(df,14)","Exit_TR(df,14)","Entry_DM(df,14)","Exit_DM(df,14)","Entry_DM1(df,14)","Exit_DM1(df,14)","Entry_λ(DM(df,14),14)","Exit_λ(DM(df,14),14)","Entry_λ(DM1(df,14),14)","Exit_λ(DM1(df,14),14)","Entry_λ(λ(DM(df,1…,λ(DM1(df,…)","Exit_λ(λ(DM(df,1…,λ(DM1(df,…)",Entry_λ(λ(λ(DM(df…),Exit_λ(λ(λ(DM(df…),Entry_λ,Exit_λ,"Entry_λ(λ,λ)","Exit_λ(λ,λ)",Entry_λ(C),Exit_λ(C),"Entry_λ(λ(C),λ(C))","Exit_λ(λ(C),λ(C))","Entry_λ(λ(λ(C),λ(…)","Exit_λ(λ(λ(C),λ(…)",Entry_λ(λ),Exit_λ(λ)
145631,116,131,68.66666412353516,65.0,,,-533979.9629745483,-0.05339802319417497,2020-06-25,2020-07-16,21 days,,63.30036050816421,42.931328418729144,62.23740692138672,60.68851793077257,62.699999491373696,67.08888816833496,3.4476206643240794,2.1499998910086497,1.209524427141462,0.2999992370605469,0.3642864227294922,0.6023799351283482,8.639460193867587,2.1428516932896207,2.60204587663923,4.3027138223453445,53.706454271888894,33.50927275219778,59.24814471875477,44.36085274703852,65.33833274841308,67.82833251953124,1.62651333796888,-1.8994792620312788,64.19495223251671,66.5866324053045,1.7748322666770378,0.4391419351127155,1.6662135513279492,1.2055507268462895,61.16376258623333,64.32386412541783
136136,135,138,69.53333282470703,66.80000305175781,,,-372104.58197021484,-0.03930963268853982,2020-07-22,2020-07-27,5 days,,53.42383411993007,44.457408069873736,60.58259201049805,60.91111056009928,67.19999910990397,67.37333246866862,2.3119054521833147,2.4452383858816966,0.4999994550432478,0.4999994550432478,0.4833324977329799,0.6214278084891183,3.5714246788803408,3.5714246788803408,3.4523749838069993,4.438770060636559,1.694947190845596,10.828018668226887,31.512767139483717,20.45305172523635,68.10666580200196,67.68999938964843,-0.08648835370126566,-1.5999118158151828,66.91967810257314,66.82085908065794,0.5283601242491471,0.1926162902615971,0.773172031942671,0.5707713565810076,64.86926745372149,64.3273148178393
144961,144,146,62.733333587646484,62.79999923706055,,,9663.919204711914,0.0010626830362987505,2020-08-04,2020-08-06,2 days,,36.95452962187885,44.078522183939604,61.837406921386716,62.11111064487034,67.12999941507975,66.78444404602051,2.1571434565952847,1.988095692225865,0.4119044712611607,0.3095239911760603,0.5547610691615513,0.44999912806919645,2.9421747947225763,2.2108856512575734,3.962579065439652,3.214279486208546,14.778285966200993,18.495175898362024,14.037273134685188,12.27004450546672,66.2516664505005,65.6083330154419,-1.916847822226806,-0.8886521052900006,65.75645079661004,65.36513274663284,-0.8042195932632978,-0.9535746453854159,-0.1724704224312321,-0.45536782627841904,61.919900591741396,61.463479045873285
148589,173,198,61.266666412353516,57.20000076293945,,,-604261.7821807861,-0.06637647986334838,2020-09-14,2020-10-20,36 days,,36.21345729115796,45.870116816901216,64.58259209526909,63.583332782321506,64.52999954223633,58.2988883972168,1.9047619955880302,1.664285659790039,0.18571417672293528,0.3214282989501953,0.5547618865966797,0.3309525081089565,1.326529833735252,2.295916421072824,3.9625849042619974,2.363946486492546,49.83924912025828,1.459915597715854,33.82507984421742,18.368028191114433,64.71499938964844,56.97833251953125,-1.387711559872368,0.11870612307065605,64.06933591877804,58.1424992282855,-1.1831715527837687,-1.2768638271272863,-0.6525095117078126,-1.5473331959695993,59.79322709728247,54.36686185083429
94123,253,255,90.30000305175781,89.33333587646484,,,-90985.6145401001,-0.010705062487527228,2021-01-07,2021-01-11,4 days,,74.49868935436305,75.44870386582497,66.44037005106608,66.9940737830268,80.5,81.90888900756836,3.057143075125558,2.6166670663016185,0.8190476553780692,0.911905016217913,0.5547616141183036,0.0642852783203125,5.850340395557637,6.513607258699379,3.9625829579878826,0.4591805594308036,19.23746237035151,86.8293551615934,21.257799386222583,24.4835011201478,82.75666656494141,83.50833320617676,1.9695522219624835,1.8763683777488156,80.57195067349872,81.84865459314474,3.78871130411342,3.990241536137418,3.6166963051337353,3.7268570825535163,76.4506640724928,76.09152310467151
92095,278,288,91.30000305175781,99.96666717529297,,,798156.4324569702,0.09492512413851761,2021-02-12,2021-02-26,14 days,,53.83085151724446,55.95416656412867,74.43999960157606,78.68703655666775,88.70555521647135,90.38333257039388,3.092858450753348,3.7333341326032365,0.5904758998325893,1.2714287894112724,0.5833331516810826,0.4166668483189174,4.217684998804209,9.081634210080516,4.16666536915059,2.976191773706553,0.6085102293508332,50.63468692103643,33.50952348980518,44.14348313018565,88.27499961853027,91.02833251953125,0.11865810037429382,0.7319582560526933,87.22965343649182,91.53105226657253,0.8395480815988634,2.862506716832769,0.9426561828429838,2.2149021096000796,82.79709537826943,81.4512828006646
104145,305,317,88.4000015258789,89.33333587646484,,,97202.10594177246,0.01055808070673736,2021-03-24,2021-04-13,20 days,,38.21273329957323,51.692423293768975,85.75962918599447,89.02222188313802,94.4122215270996,93.18555552164713,4.276191166469029,3.500000544956752,0.6023810250418526,0.8214280264718192,1.1999996730259486,0.7952374049595424,4.302721607441804,5.86734304622728,8.571426235899633,5.680267178282445,33.15718197741236,1.6200396818708607,32.11464170413854,32.942980789246484,95.52166633605957,90.86499977111816,-2.066161367403232,0.6497783826954182,93.28037016590257,91.68306526290937,-0.6582297877742036,-0.5144432891076463,0.7471076181571885,-0.6779695681280162,87.59553763306684,85.5247214571312
102238,318,323,91.0,87.86666870117188,,,-320345.52532958984,-0.03443221207503433,2021-04-15,2021-04-23,8 days,,53.65357704719753,39.93575175303168,89.19925884670681,89.70370322333441,93.15888875325521,91.93555501302083,3.526191166469029,3.450000217982701,0.8999998910086495,0.790475572858538,0.7190470014299665,0.9285714285714286,6.428570650061783,5.6462540918467,5.136050010214046,6.63265306122449,11.176507019270524,8.03327981131507,32.045518657209875,20.069705029895722,90.76666641235352,90.12499961853027,1.1798790718131424,-1.565321389233464,91.8349367080975,91.07728318043795,-0.2717443036577123,-0.8623845579085128,-0.5967245152339554,-0.5266653925464381,85.73790807352346,85.19522986337034
89061,333,334,100.86666870117188,100.16666412353516,,,-62343.10768890381,-0.006939899836590824,2021-05-07,2021-05-10,3 days,,66.84216330138175,70.59854122905416,90.98666602240668,91.2414808485243,91.07444381713867,91.52222162882487,3.3476197378976003,3.3095245361328125,1.2261902945382255,1.3619046892438615,0.5095242091587612,0.23809541974748885,8.758502103844467,9.727890637456154,3.639458636848294,1.7006815696249202,41.289398910535155,70.23807455893416,19.066764981031305,22.988879551827015,91.89999885559082,92.43333206176757,2.0476405257502535,2.234101651458425,92.65439150646756,93.4232019744853,1.5956347351615818,2.1781022030019983,0.23698069982341113,0.6252050004591285,83.82566631139053,82.94405859382151
83321,349,354,107.06666564941406,112.13333129882812,,,422159.6485748291,0.047322531421728264,2021-06-01,2021-06-08,7 days,,64.8771779836483,69.83095457435007,93.7437032063802,94.74148101806641,97.66444396972656,101.10555547078451,3.7166671752929688,3.557142530168806,0.835714612688337,1.0214282444545202,0.7952379499162946,0.3404758998325893,5.969390090630979,7.295916031818002,5.680271070830676,2.4319707130899237,2.4817805066875267,50.00002000716256,40.673680495298285,27.24568540507324,101.90999984741211,104.35333366394043,1.4767651690467107,1.8245536706010164,99.8933609289632,102.90795011697406,2.721598936603357,3.677561308926684,2.487660364826276,3.0150912249551083,95.06169730904026,96.11752766021075
